,sample,library_prep,dataset,group,subgroup,bam,gtf,positions,probes,extra
126,SRR15217674_Bowel_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217674_Bowel_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
127,SRR15217676_Adnexa_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217676_Adnexa_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
128,SRR15217688_Omentum_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217688_Omentum_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
129,SRR15217681_Omentum_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217681_Omentum_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
130,SRR15217689_Adnexa_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217689_Adnexa_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
131,SRR15217680_Bowel_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217680_Bowel_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
132,SRR15217240_Bowel_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217240_Bowel_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
133,SRR15217242_Omentum_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217242_Omentum_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
134,SRR15217463_Adnexa_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217463_Adnexa_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
135,SRR15217462_Adnexa_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217462_Adnexa_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
