sample,dataset,group,subgroup,library_prep,total_reads,countable_reads,full_saturation,baseline_saturation,ztnb_phat,ztnb_rhat,nb_lib_L,cells_or_tissue_frac
Visium_HD_Mouse_Kidney,visium_hd,visium_hd,FFPE,10X_visium_hd,517401810,489698879,51.042,51.042,0.709,3.467,343934101.334,0.650
Visium_HD_Mouse_Lung_Fresh_Frozen,visium_hd,visium_hd,Fresh_Frozen,10X_visium_hd,991817310,901423699,57.919,49.981,0.627,2.101,534596455.475,0.750
Visium_HD_Mouse_Small_Intestine,visium_hd,visium_hd,FFPE,10X_visium_hd,324617261,282352518,45.970,45.970,0.801,4.990,227660356.639,0.300
CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,visium,visium,FFPE,10X_visium,146813308,140023295,54.830,54.830,0.604,2.336,91155532.030,0.450
CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma,visium,visium,FFPE,10X_visium,138058109,132714128,43.708,43.708,0.758,3.381,122089139.010,0.850
CytAssist_Fresh_Frozen_Human_Breast_Cancer,visium,visium,FFPE,10X_visium,75833503,73324871,28.085,28.085,0.807,2.140,142655040.269,0.300
CytAssist_11mm_FFPE_Human_Kidney,visium,visium,FFPE,10X_visium,905561870,872548740,89.370,49.894,0.748,4.140,90025082.695,0.350
CytAssist_11mm_FFPE_Human_Lung_Cancer,visium,visium,FFPE,10X_visium,844866053,815454077,45.917,45.917,0.657,2.031,764090850.090,0.350
CytAssist_11mm_FFPE_Human_Glioblastoma,visium,visium,FFPE,10X_visium,805591557,776555698,81.595,49.944,0.741,3.987,146096394.520,0.700
CytAssist_11mm_FFPE_Human_Colorectal_Cancer,visium,visium,FFPE,10X_visium,911044482,880803000,46.221,46.221,0.651,1.993,820037160.330,0.600
CytAssist_FFPE_Human_Skin_Melanoma,visium,visium,FFPE,10X_visium,193483192,185965703,39.425,39.425,0.793,3.538,198987736.581,0.800
CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma,visium,visium,FFPE,10X_visium,215513438,207699676,30.169,30.169,0.799,2.285,360354447.229,0.300
